CODIGO;CODIGO_BARRAS;NOME_PRODUTO;UN_MEDIDA;Estoque;PRECO_FORNECEDOR;PRECO_CUSTO;PRECO_MINIMO_VENDA;PRECO_VENDA;NCM;COD_SITUACAO T._ICM;CSOSN;ALICOTA_ICMS;REDUCAO_ICMS;MVA
11493;11493;CORANTE CHEMICOLOR 50ML MARROM;UN;0.0;2.94;2.95;5.0;5.6;3204.16.00;60.0;500.0;0.0;0.0;0.0
11494;33444;CORANTE 50ML VERDE CHEMICOLOR;UN;39.0;2.99;2.99;5.0;5.6;3204.16.00;60.0;500.0;0.0;0.0;0.0
11494;11494;CORANTE 50ML VERDE CHEMICOLOR;UN;0.0;2.99;2.99;5.0;5.6;3204.16.00;60.0;500.0;0.0;0.0;0.0
11494;33444;CORANTE 50ML VERDE CHEMICOLOR;UN;0.0;2.99;2.99;5.0;5.6;3204.16.00;60.0;500.0;0.0;0.0;0.0
11494;11494;CORANTE 50ML VERDE CHEMICOLOR;UN;6.0;2.99;2.99;5.0;5.6;3204.16.00;60.0;500.0;0.0;0.0;0.0
11495;11495;*LUVA CORRER SOLD 32MM PLASTILIT;UN;6.0;13.19;13.19;13.19;25.0;3917.40.90;60.0;500.0;0.0;0.0;0.0
11496;11496;*SELADOR 900ML P/MADEIRA LUX LACA;UN;5.0;26.34;26.34;26.34;44.5;3208.10.20;60.0;500.0;0.0;0.0;0.0
11496;7,91E+12;*SELADOR 900ML P/MADEIRA LUX LACA;UN;5.0;26.34;26.34;26.34;44.5;3208.10.20;60.0;500.0;0.0;0.0;0.0
11497;11497;*BATIDA DE PEDRA 900ML ANJO EMBOR.PRETO;UN;0.0;20.46;20.46;20.46;33.5;3209.10.10;60.0;500.0;0.0;0.0;0.0
11497;7,90E+12;*BATIDA DE PEDRA 900ML ANJO EMBOR.PRETO;UN;0.0;20.46;20.46;20.46;33.5;3209.10.10;60.0;500.0;0.0;0.0;0.0
11498;11498;*ABRACADEIRA NYLON 4.8X370 BR THOMPSON;PT;15.0;0.32;0.33;0.33;1.0;3926.90.90;60.0;500.0;0.0;0.0;0.0
11498;7,90E+12;*ABRACADEIRA NYLON 4.8X370 BR THOMPSON;PT;15.0;0.32;0.33;0.33;1.0;3926.90.90;60.0;500.0;0.0;0.0;0.0
11499;11499;*ABRACADEIRA NYLON 4.8X370 PT THOMPSON;PT;21.0;0.31;0.32;0.32;1.0;3926.90.90;60.0;500.0;0.0;0.0;0.0
11499;7,90E+12;*ABRACADEIRA NYLON 4.8X370 PT THOMPSON;PT;21.0;0.31;0.32;0.32;1.0;3926.90.90;60.0;500.0;0.0;0.0;0.0
11500;11500;*UNIAO ROSCAVEL 1.1/2 PLASTUBOS AR;UN;0.0;21.93;21.93;21.93;44.5;3917.40.90;60.0;500.0;0.0;0.0;0.0
11500;7,90E+12;*UNIAO ROSCAVEL 1.1/2 PLASTUBOS AR;UN;0.0;21.93;21.93;21.93;44.5;3917.40.90;60.0;500.0;0.0;0.0;0.0
11501;11501;*JOELHO ESG 75 PLASTILIT;UN;40.0;2.7;2.7;2.7;6.5;3917.40.90;60.0;500.0;0.0;0.0;0.0
11502;81696;LUVA ELETRICA 3/4 ROSC AMANCO ;UN;40.0;0.56;0.56;1.8;2.0;3917.40.90;60.0;500.0;0.0;0.0;0.0
11502;11502;LUVA ELETRICA 3/4 ROSC AMANCO ;UN;27.0;0.56;0.56;1.8;2.0;3917.40.90;60.0;500.0;0.0;0.0;0.0
11503;11503;*CHUVEIRO BRANCO N06 FRAMIG;UN;27.0;12.55;12.56;12.56;24.5;3922.10.00;60.0;500.0;0.0;0.0;0.0
11503;7,90E+12;*CHUVEIRO BRANCO N06 FRAMIG;UN;2.0;12.55;12.56;12.56;24.5;3922.10.00;60.0;500.0;0.0;0.0;0.0
11504;11504;*FITA DE LED 2835-60L/M BRANCA 6500k - (USA DRIVE COD 30530);METRO;2.0;3.84;4.53;15.3;17.0;9405.42.00;60.0;500.0;0.0;0.0;0.0
11505;11505;BALIZADOR DE PAREDE BRANCO 3000K 110-220V IP65 BRAVO LED;UN;0.0;39.0;39.0;60.0;67.0;9405.42.00;60.0;500.0;0.0;0.0;0.0
11505;7,90E+12;BALIZADOR DE PAREDE BRANCO 3000K 110-220V IP65 BRAVO LED;UN;0.0;39.0;39.0;60.0;67.0;9405.42.00;60.0;500.0;0.0;0.0;0.0
11506;11506;*PERFIL LED EMBUTIR 3M BRANCO C/FITA 40721A IP20 12V 16W/m;UND;10.0;164.07;164.07;300.0;335.0;9405.42.00;60.0;500.0;0.0;0.0;0.0
11506;7,91E+12;*PERFIL LED EMBUTIR 3M BRANCO C/FITA 40721A IP20 12V 16W/m;UND;0.0;164.07;164.07;300.0;335.0;9405.42.00;60.0;500.0;0.0;0.0;0.0
11507;11507;*LAMPADA LED 9W 6000K MEGALUMI;UND;0.0;4.14;4.14;6.0;6.9;8539.52.00;60.0;500.0;0.0;0.0;0.0
11507;7,90E+12;*LAMPADA LED 9W 6000K MEGALUMI;UND;0.0;4.14;4.14;6.0;6.9;8539.52.00;60.0;500.0;0.0;0.0;0.0
11508;11508;*LAMPADA LED 9W 6500K KIAN;UN;0.0;4.22;4.23;4.23;8.5;8539.52.00;60.0;500.0;0.0;0.0;0.0
11508;7,90E+12;*LAMPADA LED 9W 6500K KIAN;UN;16.0;4.22;4.23;4.23;8.5;8539.52.00;60.0;500.0;0.0;0.0;0.0
11509;11509;*PINO MACHO 2P 10A PRETO - FAME 08321400;UN;16.0;3.11;4.2;4.2;8.0;8536.90.90;60.0;500.0;0.0;0.0;0.0
11509;7,90E+12;*PINO MACHO 2P 10A PRETO - FAME 08321400;UN;0.0;3.11;4.2;4.2;8.0;8536.90.90;60.0;500.0;0.0;0.0;0.0
